date	top10	top5	top1	top-0.5	top-0.1	top-0.01	white	black	hispanic	bottom90
1913			"$265,602 "	"$435,564 "	"$1,274,266 "	"$4,074,253 "				
1914			"$262,348 "	"$435,763 "	"$1,243,021 "	"$3,943,192 "				
1915			"$256,419 "	"$425,324 "	"$1,344,898 "	"$6,360,322 "				
1916			"$311,368 "	"$527,963 "	"$1,695,392 "	"$7,709,299 "				
1917	"$66,045 "	"$99,919 "	"$289,194 "	"$467,696 "	"$1,369,823 "	"$5,486,772 "				"$10,778 "
1918	"$61,807 "	"$90,901 "	"$245,973 "	"$383,089 "	"$1,035,040 "	"$3,782,072 "				"$10,255 "
1919	"$61,623 "	"$92,224 "	"$250,841 "	"$386,356 "	"$1,013,362 "	"$3,494,994 "				"$10,136 "
1920	"$53,185 "	"$77,225 "	"$202,165 "	"$303,811 "	"$730,316 "	"$2,266,923 "				"$9,238 "
1921	"$51,413 "	"$73,354 "	"$186,192 "	"$278,566 "	"$666,995 "	"$2,010,287 "				"$7,517 "
1922	"$59,455 "	"$86,881 "	"$231,960 "	"$355,136 "	"$902,329 "	"$3,092,543 "				"$8,503 "
1923	"$62,757 "	"$90,142 "	"$236,768 "	"$360,480 "	"$894,006 "	"$3,024,162 "				"$9,845 "
1924	"$66,900 "	"$96,754 "	"$262,481 "	"$403,765 "	"$1,022,472 "	"$3,502,564 "				"$9,306 "
1925	"$72,504 "	"$109,520 "	"$316,653 "	"$496,166 "	"$1,333,259 "	"$5,178,636 "				"$9,323 "
1926	"$71,456 "	"$108,219 "	"$311,225 "	"$486,096 "	"$1,322,342 "	"$5,258,752 "				"$9,430 "
1927	"$74,173 "	"$113,452 "	"$334,164 "	"$527,570 "	"$1,470,785 "	"$5,966,800 "				"$9,418 "
1928	"$82,466 "	"$129,043 "	"$400,549 "	"$649,137 "	"$1,930,930 "	"$8,406,613 "				"$9,427 "
1929	"$80,584 "	"$125,882 "	"$385,635 "	"$623,372 "	"$1,882,846 "	"$8,609,279 "				"$10,215 "
1930	"$65,325 "	"$95,498 "	"$256,492 "	"$393,279 "	"$1,053,511 "	"$4,236,159 "				"$9,289 "
1931	"$59,296 "	"$83,149 "	"$206,315 "	"$307,927 "	"$784,527 "	"$2,995,061 "				"$8,203 "
1932	"$51,542 "	"$72,624 "	"$172,910 "	"$258,388 "	"$663,534 "	"$2,211,371 "				"$6,624 "
1933	"$50,039 "	"$72,831 "	"$180,616 "	"$273,548 "	"$725,188 "	"$2,572,347 "				"$6,632 "
1934	"$54,851 "	"$80,780 "	"$196,443 "	"$294,600 "	"$734,294 "	"$2,483,835 "				"$7,217 "
1935	"$58,303 "	"$84,609 "	"$218,520 "	"$331,106 "	"$837,621 "	"$2,867,003 "				"$8,081 "
1936	"$68,083 "	"$101,229 "	"$281,842 "	"$434,221 "	"$1,105,440 "	"$3,706,972 "				"$8,671 "
1937	"$66,172 "	"$96,551 "	"$256,562 "	"$389,679 "	"$971,601 "	"$3,252,973 "				"$9,270 "
1938	"$60,927 "	"$86,659 "	"$217,789 "	"$325,569 "	"$813,359 "	"$3,033,594 "				"$8,590 "
1939	"$66,847 "	"$94,808 "	"$237,550 "	"$354,156 "	"$862,298 "	"$2,883,476 "				"$8,890 "
1940	"$69,564 "	"$98,978 "	"$253,082 "	"$378,848 "	"$922,317 "	"$3,138,726 "				"$9,336 "
1941	"$75,289 "	"$107,706 "	"$283,442 "	"$425,978 "	"$1,042,601 "	"$3,550,172 "				"$11,585 "
1942	"$75,008 "	"$107,144 "	"$278,804 "	"$418,010 "	"$998,977 "	"$3,209,311 "				"$14,735 "
1943	"$81,395 "	"$116,368 "	"$297,399 "	"$442,026 "	"$1,029,917 "	"$2,984,081 "				"$17,801 "
1944	"$77,634 "	"$108,718 "	"$269,370 "	"$394,350 "	"$896,776 "	"$2,780,000 "				"$17,905 "
1945	"$82,003 "	"$118,132 "	"$298,152 "	"$435,375 "	"$990,803 "	"$3,009,661 "				"$17,357 "
1946	"$88,995 "	"$129,810 "	"$321,962 "	"$466,194 "	"$1,064,977 "	"$3,571,564 "				"$17,056 "
1947	"$79,114 "	"$113,684 "	"$275,363 "	"$396,800 "	"$902,488 "	"$3,002,412 "	"$27,807 "	"$14,216 "		"$16,802 "
1948	"$81,885 "	"$117,192 "	"$286,315 "	"$416,299 "	"$948,368 "	"$3,053,144 "	"$26,995 "	"$14,419 "		"$16,887 "
1949	"$79,700 "	"$112,404 "	"$268,953 "	"$388,795 "	"$878,709 "	"$2,849,623 "	"$26,688 "	"$13,625 "		"$16,627 "
1950	"$89,141 "	"$128,002 "	"$321,328 "	"$469,724 "	"$1,100,488 "	"$3,057,455 "	"$28,096 "	"$15,243 "		"$17,946 "
1951	"$88,114 "	"$124,641 "	"$303,532 "	"$439,268 "	"$1,001,827 "	"$3,298,911 "	"$29,168 "	"$15,359 "		"$18,822 "
1952	"$87,724 "	"$121,868 "	"$285,029 "	"$408,695 "	"$905,511 "	"$2,875,066 "	"$30,536 "	"$17,354 "		"$19,602 "
1953	"$88,688 "	"$120,859 "	"$271,824 "	"$385,546 "	"$838,693 "	"$2,653,914 "	"$32,426 "	"$18,181 "		"$20,648 "
1954	"$92,208 "	"$127,734 "	"$295,341 "	"$422,872 "	"$956,986 "	"$3,203,946 "	"$31,700 "	"$17,655 "		"$20,214 "
1955	"$100,305 "	"$139,480 "	"$326,813 "	"$470,669 "	"$1,097,984 "	"$3,891,118 "	"$33,860 "	"$18,673 "		"$21,695 "
1956	"$103,574 "	"$143,167 "	"$330,328 "	"$476,922 "	"$1,079,102 "	"$3,706,898 "	"$36,153 "	"$19,023 "		"$22,884 "
1957	"$101,726 "	"$139,410 "	"$313,332 "	"$445,835 "	"$981,632 "	"$3,246,706 "	"$36,165 "	"$19,335 "		"$22,960 "
1958	"$100,888 "	"$137,838 "	"$306,792 "	"$436,979 "	"$967,489 "	"$3,250,958 "	"$36,095 "	"$18,490 "		"$22,191 "
1959	"$109,459 "	"$150,586 "	"$342,747 "	"$496,747 "	"$1,110,511 "	"$3,843,949 "	"$38,117 "	"$19,690 "		"$23,605 "
1960	"$108,195 "	"$145,925 "	"$324,327 "	"$460,849 "	"$1,050,123 "	"$3,797,469 "	"$38,779 "	"$21,466 "		"$23,891 "
